Date,Store ID,Product ID,Actual Demand,Predicted Demand,Prediction_Error
2023-08-14,S004,P0019,86,46.384000478779,39.615999521221
2023-08-14,S001,P0019,266,181.2098161099671,84.79018389003289
2023-08-14,S004,P0016,29,79.65798462910169,-50.65798462910169
2023-08-14,S001,P0008,266,187.88607691374773,78.11392308625227
2023-08-14,S003,P0006,16,60.62022455186104,-44.62022455186104
2023-08-14,S005,P0011,183,193.09739255642933,-10.097392556429327
2023-08-14,S005,P0015,430,224.0507967307699,205.9492032692301
2023-08-14,S002,P0013,250,226.09814392176946,23.901856078230537
2023-08-14,S002,P0003,49,73.37552625592338,-24.375526255923376
2023-08-14,S003,P0012,76,84.99531281162416,-8.99531281162416
2023-08-14,S005,P0020,311,250.00481372571738,60.99518627428262
2023-08-14,S001,P0001,72,194.03038327486792,-122.03038327486792
2023-08-14,S001,P0010,15,158.46725773165394,-143.46725773165394
2023-08-14,S001,P0011,116,234.0514033533741,-118.0514033533741
2023-08-14,S001,P0003,267,151.90140770821012,115.09859229178988
2023-08-14,S003,P0005,403,208.60863434991273,194.39136565008727
2023-08-14,S002,P0019,171,133.05943175048003,37.94056824951997
2023-08-14,S004,P0015,156,161.7950674091074,-5.795067409107389
2023-08-14,S003,P0003,45,170.67993611259942,-125.67993611259942
2023-08-14,S004,P0012,44,24.920666760181746,19.079333239818254
2023-08-14,S005,P0004,72,50.1867183944791,21.8132816055209
2023-08-14,S002,P0017,56,53.05104572299143,2.9489542770085677
2023-08-14,S005,P0018,424,231.20623132806014,192.79376867193986
2023-08-14,S002,P0011,87,193.04521157748894,-106.04521157748894
2023-08-14,S004,P0006,106,142.48964057737078,-36.48964057737078
2023-08-14,S002,P0020,202,138.2367050323246,63.76329496767539
2023-08-14,S005,P0002,18,84.70034490625437,-66.70034490625437
2023-08-14,S002,P0015,91,57.841535430907015,33.158464569092985
2023-08-14,S001,P0013,119,110.75064366941149,8.249356330588512
2023-08-14,S005,P0001,12,137.68741804665376,-125.68741804665376
2023-08-14,S003,P0018,8,79.33314031146273,-71.33314031146273
2023-08-14,S003,P0013,77,190.32837850614737,-113.32837850614737
2023-08-14,S003,P0020,131,108.9064522906362,22.093547709363804
2023-08-14,S001,P0005,348,211.7360015256872,136.2639984743128
2023-08-15,S001,P0019,65,71.4394308806103,-6.439430880610303
2023-08-15,S001,P0007,223,231.98499385918933,-8.98499385918933
2023-08-15,S002,P0003,58,113.030174691414,-55.030174691414004
2023-08-15,S001,P0016,336,173.87124869579566,162.12875130420434
2023-08-15,S003,P0008,17,55.53688432539212,-38.53688432539212
2023-08-15,S004,P0017,164,159.05468242150806,4.945317578491938
2023-08-15,S002,P0002,81,137.15070896729554,-56.15070896729554
2023-08-15,S001,P0015,67,69.12466346048075,-2.124663460480747
2023-08-15,S005,P0005,68,131.31112603816518,-63.311126038165185
2023-08-15,S001,P0008,19,32.08406547110769,-13.084065471107692
2023-08-15,S001,P0013,2,61.00599682774259,-59.00599682774259
2023-08-15,S003,P0002,84,170.73072347953422,-86.73072347953422
2023-08-15,S001,P0006,207,200.28268359824364,6.717316401756364
2023-08-15,S005,P0001,451,234.24620724144813,216.75379275855187
2023-08-15,S003,P0001,101,146.38309681313,-45.38309681313001
2023-08-15,S005,P0018,35,37.742769572082125,-2.742769572082125
2023-08-15,S003,P0009,38,128.94668495019982,-90.94668495019982
2023-08-15,S004,P0018,79,105.17859922330848,-26.17859922330848
2023-08-15,S004,P0014,22,51.42158027525977,-29.42158027525977
2023-08-15,S002,P0013,72,61.51202770250313,10.487972297496867
2023-08-15,S001,P0004,95,130.6432461538035,-35.64324615380349
2023-08-15,S005,P0017,33,35.05638074959501,-2.0563807495950073
2023-08-15,S002,P0011,201,200.78500272894536,0.21499727105464217
2023-08-15,S001,P0011,121,183.53714939037275,-62.53714939037275
2023-08-15,S001,P0018,143,187.4382304839133,-44.43823048391329
2023-08-15,S001,P0002,22,114.09041661289751,-92.09041661289751
2023-08-15,S003,P0011,247,213.87419729192783,33.12580270807217
2023-08-15,S001,P0005,2,123.63474405517127,-121.63474405517127
2023-08-15,S002,P0012,56,191.37004020550012,-135.37004020550012
2023-08-15,S004,P0009,246,200.89698348305774,45.10301651694226
2023-08-15,S003,P0020,50,97.1723086897644,-47.17230868976441
2023-08-15,S003,P0004,37,113.41098152086784,-76.41098152086784
2023-08-15,S003,P0003,40,97.18791248828774,-57.187912488287736
2023-08-15,S002,P0007,242,226.6920432884204,15.307956711579607
2023-08-15,S002,P0008,148,187.9993351726717,-39.99933517267169
2023-08-15,S005,P0019,33,158.07098308105083,-125.07098308105083
2023-08-15,S005,P0009,91,45.18262227296236,45.81737772703764
2023-08-15,S005,P0002,242,121.30922918440865,120.69077081559135
2023-08-15,S004,P0010,126,118.60437793206682,7.395622067933175
2023-08-15,S005,P0003,136,129.61638089125046,6.383619108749542
2023-08-15,S004,P0004,64,99.08164059854494,-35.081640598544936
2023-08-15,S003,P0014,72,78.51915407902715,-6.519154079027146
2023-08-15,S002,P0009,99,53.732355321298485,45.267644678701515
2023-08-15,S002,P0015,8,108.98776693953442,-100.98776693953442
2023-08-15,S004,P0003,36,202.691906954086,-166.691906954086
2023-08-15,S004,P0007,44,166.6761751461803,-122.6761751461803
2023-08-15,S001,P0001,289,204.84001891156908,84.15998108843092
2023-08-15,S004,P0001,81,198.58287673723532,-117.58287673723532
2023-08-15,S001,P0003,49,34.294547350094604,14.705452649905396
2023-08-15,S004,P0016,123,100.71137687069466,22.288623129305336
2023-08-15,S001,P0014,105,82.74032357890519,22.25967642109481
2023-08-15,S003,P0016,80,50.276216648077934,29.723783351922066
2023-08-15,S005,P0020,164,167.64367054072227,-3.643670540722269
2023-08-15,S005,P0015,108,199.14247892672466,-91.14247892672466
2023-08-15,S002,P0016,60,53.07458094504068,6.92541905495932
2023-08-15,S002,P0005,16,29.81776397994838,-13.817763979948381
2023-08-15,S003,P0010,109,173.02953907473324,-64.02953907473324
2023-08-15,S005,P0012,77,184.89842372447936,-107.89842372447936
2023-08-15,S004,P0020,42,78.74654836401419,-36.74654836401419
2023-08-15,S003,P0006,162,200.61480577447315,-38.614805774473155
2023-08-15,S003,P0005,231,248.88846094947831,-17.888460949478315
2023-08-15,S005,P0004,154,171.22444917971012,-17.22444917971012
2023-08-15,S004,P0012,45,72.83974054792623,-27.839740547926226
2023-08-15,S002,P0018,192,118.09931813509615,73.90068186490385
2023-08-15,S005,P0008,204,137.1586194060812,66.84138059391881
2023-08-15,S004,P0015,143,73.78482742028444,69.21517257971556
2023-08-15,S004,P0005,71,116.54694618273788,-45.546946182737884
2023-08-15,S002,P0014,145,111.97766175960749,33.022338240392514
2023-08-15,S002,P0017,48,27.75688527591501,20.24311472408499
2023-08-15,S004,P0013,230,121.50808252216382,108.49191747783618
2023-08-15,S003,P0015,140,78.22165407480793,61.77834592519207
